MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
1st,38.5,0.635,16.1,31.2,2.2,18.6,10.8,29.9,903.8,30.1,32,0.7,6.7,598,7.4,9.2,10.5,20.8,849,0.549,1.54,0.56,8.7,9.9,703,0.873,2.4,6,192,0.391,445,5.5,6.8,1.56,103,1.27,1.58,0.59,0,0,0,0,27,3
2nd,37.7,0.649,20.6,29.1,3.6,18.9,11.5,29.4,818.5,27.3,27.1,1.1,5.9,533,6.9,8.8,10,17.6,767,0.622,1.54,0.61,5.7,7.6,439,0.75,1.5,4,116,0.379,489,6.4,8.1,1.81,121,1.57,2,0.96,0,0,0,0,12,1
0,36.3,0.591,15.2,27.7,8.5,29.5,18.7,26.97,645.8,21.5,26.1,2.9,9.6,963,12.5,16.5,8.4,18.5,650,0.502,1.41,0.524,6.8,8.2,520,0.821,2.5,7,190,0.376,341,4.4,5.9,1.75,0,0,0,0,0,0,0,0,65,3
0,35.2,0.582,7.4,23.2,10,23.3,16.6,26.54,529.3,17.6,20.8,3.1,7,673,10,13.7,7.8,15,522,0.522,1.39,0.52,5.2,6.6,348,0.791,0,0,0,0,0,0,0,0,89,1.33,1.81,0.45,189,2.82,3.85,0.95,36,0
0,32.4,0.555,10.8,30.7,10.6,30.5,20.4,26.18,534.5,17.8,22.7,3.1,8.6,831,11.7,17.4,8.3,16.8,591,0.499,1.36,0.496,6.1,8.4,432,0.726,0,0,0,0,0,0,0,0,109,1.54,2.28,0.4,91,1.28,1.9,0.34,53,0
0,35,0.58,36.2,25,2,11.4,6.9,25.98,485.2,16.2,19.1,0,0,0,0,0,6.5,14,406,0.498,1.36,0.511,4.8,5.6,295,0.855,0,0,0,0,663,10.7,14.7,4.57,154,2.48,3.4,0.98,0,0,0,0,39,0
0,31.4,0.629,4.9,24.1,8.8,14.1,11.5,25.5,118.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30.7,0.545,22.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,5.3,6.4,242,0.826,1.5,5,68,0.318,0,0,0,0,0,0,0,0,0,0,0,0,11,2
0,38.7,0.561,10.4,30.1,5.6,19.4,12.3,24.5,623,20.8,27.4,1.9,6.2,622,8.1,10,9.6,21.3,743,0.469,1.29,0.503,6,7,459,0.848,2.2,5,167,0.402,242,3.1,3.9,1.22,95,1.23,1.53,0.42,0,0,0,0,22,0
0,36.5,0.61,26.7,28.2,1.8,10.9,6.4,24.13,557.6,18.6,24,0,0,0,0,0,8.4,17.7,652,0.509,1.35,0.566,3.9,4.5,308,0.885,3.3,8,261,0.424,666,8.5,11.2,2.27,127,1.63,2.14,0.65,0,0,0,0,28,4
3rd,35.8,0.583,14.1,27.1,7.7,21.2,14.7,23.98,533.3,17.8,24.1,2.4,7.1,757,9.5,12.7,9,17,718,0.537,1.42,0.533,6,8.4,482,0.715,0,0,0,0,309,3.9,5.2,1.38,92,1.15,1.54,0.35,0,0,0,0,43,1
0,32.9,0.603,12.2,24.9,1.8,20,10.9,23.68,477.7,15.9,21.7,0.5,5.7,498,6.2,9.1,7.9,15.9,633,0.532,1.36,0.549,4.2,4.7,338,0.899,1.6,4,131,0.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.6,0.695,7,15.8,11,15.1,13.1,23.6,194.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.95,2.45,0.59,0,0
