PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Tracy McGrady,4th,39.4,0.564,15,32.6,5,14.6,9.5,31.01,452,15.1,32.1,0,0,0,0,0,11.1,24.2,829,0.481,1.33,0.505,7.7,9.7,576,0.793,2.3,6,173,0.386,411,5.5,6.7,2.11,124,1.65,2.01,0.79,0,0,0,0,19,1
Shaquille O'Neal,5th,37.8,0.602,10.7,27.8,11,21.6,16.5,29.43,356.2,11.9,27.5,0,0,0,0,0,10.4,18.1,695,0.574,1.52,0.574,6.7,10.8,451,0.622,0,0,0,0,0,0,0,0,0,0,0,0,159,2.37,3.01,0.69,46,0
Kobe Bryant,3rd,41.5,0.55,16,31.1,3,15.3,9.3,27.07,420.6,14,30,1.3,5.6,564,6.9,8,10.6,23.5,868,0.465,1.28,0.483,7.3,8.7,601,0.843,1.5,4,124,0.383,481,5.9,6.8,1.67,181,2.21,2.55,0.83,0,0,0,0,23,5
Kevin Garnett,2nd,40.5,0.553,20.4,25,9,28.5,18.8,26.46,370.8,12.4,23,3,10.5,1102,13.4,15.9,9.1,18.1,743,0.513,1.27,0.508,4.6,6.1,377,0.751,0,0,0,0,495,6,7.2,2.16,113,1.38,1.63,0.57,129,1.57,1.86,0.65,68,6
Tim Duncan,1st,39.3,0.564,14.1,25.7,10,27.3,19,26.46,355,11.8,23.3,3.2,9.7,1043,12.9,15.7,8.8,17.2,714,0.517,1.35,0.515,5.6,7.8,450,0.71,0,0,0,0,316,3.9,4.8,1.27,0,0,0,0,237,2.93,3.58,1.03,58,1
Dirk Nowitzki,0,39,0.581,11.3,24.8,3,25.1,14,25.94,336,11.2,25.1,1,8.9,791,9.9,12.2,8.6,18.6,690,0.493,1.35,0.513,6,6.9,483,0.881,1.9,5,148,0.379,0,0,0,0,111,1.39,1.71,0.54,82,1.03,1.26,0.4,41,0
Steve Nash,0,33.1,0.576,29.1,24,3,7,4.8,23.51,253.1,8.4,17.7,0,0,0,0,0,6.3,13.6,518,0.482,1.31,0.515,3.8,4.1,308,0.909,1.4,3,111,0.413,598,7.3,10.6,3.11,0,0,0,0,0,0,0,0,19,0
Paul Pierce,0,39.2,0.532,13.6,30.1,4,17.7,10.6,23.49,300,10,25.9,1.3,6,578,7.3,9,8.4,20.2,663,0.454,1.29,0.454,7.6,9.5,604,0.802,1.5,5,118,0.302,349,4.4,5.4,1.21,139,1.76,2.16,0.61,0,0,0,0,20,1
Sam Cassell,0,34.6,0.565,22.7,25.2,2,12.4,7.4,23.08,243.4,8.1,19.7,0,0,0,0,0,7,14.9,546,0.487,1.32,0.495,4.9,5.7,385,0.861,0,0,0,0,450,5.8,8,2.54,0,0,0,0,0,0,0,0,0,0
Jason Kidd,0,37.4,0.526,29.3,26,4,15.1,9.6,22.62,259.3,8.6,18.7,0,0,0,0,0,6.4,15.6,515,0.445,1.2,0.465,4.2,5,339,0.841,1.6,5,126,0.341,711,8.9,11.4,2.4,179,2.24,2.87,1.41,0,0,0,0,31,4
Vince Carter,0,34.2,0.532,13.7,26.3,4,10.4,7.3,22.48,131.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Allen,0,37.9,0.565,16.3,25.4,3.8,11.8,7.8,22.19,251.1,8.4,22.5,0,0,0,0,0,7.9,17.9,598,0.478,1.26,0.512,4.2,4.5,316,0.916,2.6,7,201,0.377,334,4.4,5.6,1.69,103,1.36,1.72,0.47,0,0,0,0,0,0
Allen Iverson,0,42.5,0.5,15.1,30.9,2,9.5,5.8,22.14,302.8,10.1,27.6,0,0,0,0,0,9.8,23.7,804,0.44,1.17,0.436,7,9,570,0.774,0,0,0,0,454,5.5,6.3,1.59,225,2.74,3.1,1.51,0,0,0,0,0,0
Gary Payton,0,40.1,0.504,26.8,24.2,2.9,9.4,6.1,21.94,262,8.7,20.4,0,0,0,0,0,8.3,18.3,665,0.476,1.11,0.472,0,0,0,0,0,0,0,0,663,8.3,9.9,3.55,133,1.66,1.99,0.73,0,0,0,0,28,0
Karl Malone,0,36.2,0.534,17.6,26.4,5,20.5,13,21.71,223.8,7.5,20.6,1.4,6.4,628,7.8,10.3,7.3,15.9,595,0.464,1.29,0.463,5.9,7.7,474,0.763,0,0,0,0,379,4.7,6.2,1.8,136,1.68,2.22,0.67,0,0,0,0,21,0
Chris Webber,0,39.1,0.485,16.8,28,7,21.1,14.4,21.48,212.9,7.1,23,0,0,0,0,0,9.9,21.4,661,0.465,1.08,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3
Michael Redd,0,28.2,0.59,9.4,20.3,5,13.9,9.4,21.33,187.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5,182,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine O'Neal,0,37.2,0.539,8.5,23.8,8,22.8,15.6,21.16,206.5,6.9,20.8,2.6,7.7,796,10.3,13.3,7.9,16.4,610,0.487,1.27,0.487,4.8,6.6,373,0.731,0,0,0,0,0,0,0,0,0,0,0,0,178,2.31,2.98,0.64,43,1
