MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,34.8,0.596,35.8,24.8,2.1,12.5,7.4,26.04,641.3,21.4,19.1,0,0,0,0,0,6.9,14.3,568,0.523,1.34,0.545,3.5,3.9,289,0.9,1.7,4,139,0.398,838,10.2,14.1,4.41,156,1.9,2.62,0.77,0,0,0,0,40,1
3rd,36.1,0.577,22.3,31.8,2.4,16.6,9.6,26.01,577.3,19.2,25.3,0.7,5.3,416,6,8,9,18.5,624,0.536,1.36,0.535,5.4,7.7,375,0.71,1.7,5,120,0.354,511,7.4,9.8,1.88,109,1.58,2.1,0.81,0,0,0,0,22,2
0,34.1,0.545,11.9,31.8,10.8,30.6,21.1,25.29,441.2,14.7,24.1,3.1,9.5,747,12.7,17.8,8.4,18.1,498,0.469,1.33,0.468,7.2,9.2,423,0.782,0,0,0,0,210,3.6,5,0.83,90,1.53,2.15,0.37,103,1.75,2.46,0.43,47,2
0,35.2,0.551,19.3,27,6.1,17.9,12.1,22.86,399.5,13.3,21.9,1.9,5.7,508,7.6,10.3,8.6,17.1,574,0.504,1.28,0.506,4.6,6.4,311,0.728,0,0,0,0,354,5.3,7.2,2.33,0,0,0,0,0,0,0,0,18,0
0,35.4,0.528,6.8,27.6,7.7,22.9,15.5,22.85,425.4,14.2,23.4,2.5,7.7,726,10.2,13.9,9.3,19.9,659,0.475,1.17,0.479,4.3,5.1,306,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
0,29.2,0.558,4,23.7,11.5,17.1,14.3,22.76,381.2,12.7,17.2,3,4.5,535,7.4,12.2,7,13.7,506,0.517,1.25,0.513,3.1,3.8,223,0.814,0,0,0,0,0,0,0,0,0,0,0,0,126,1.75,2.88,0.61,17,0
0,34.4,0.55,12.5,23.2,9.2,27.6,18.6,22.73,449.2,15,18.5,2.8,9,919,11.8,16.5,7.3,14.8,570,0.495,1.25,0.5,3.8,4.7,294,0.803,0,0,0,0,210,2.7,3.8,1.33,0,0,0,0,147,1.88,2.63,1,54,0
0,28.9,0.56,17.5,21,8.8,26.7,17.9,22.69,371.9,12.4,0,2.2,6.9,704,9.1,15.2,5.4,10.6,419,0.514,1.31,0.513,3,4,230,0.74,0,0,0,0,230,3,5,1.76,0,0,0,0,151,1.96,3.25,0.92,33,1
0,31.8,0.567,13.5,21.4,4.8,20.6,12.9,22.09,351.8,11.7,16.5,1.3,5.9,461,7.2,10.9,6.2,12.8,394,0.519,1.29,0.52,3.2,3.9,202,0.802,0,0,0,0,0,0,0,0,148,2.31,3.49,1.16,0,0,0,0,14,0
0,30.8,0.558,8.6,22.3,10,20.7,15.4,21.86,352.4,11.7,0,2.6,5.6,607,8.2,12.8,6.5,12.4,482,0.527,1.29,0.526,3,4.5,222,0.669,0,0,0,0,0,0,0,0,0,0,0,0,123,1.66,2.59,0.59,23,0
0,33.2,0.558,17.6,23.5,4.9,21.8,13.4,21.73,446.4,14.9,17.4,1.4,6.4,630,7.8,11.3,6.5,13.2,530,0.5,1.32,0.496,4.3,5.4,350,0.795,0,0,0,0,307,3.8,5.5,1.74,0,0,0,0,131,1.62,2.34,0.63,20,0
0,34.2,0.548,9.2,23.8,10.4,26,18.1,21.62,416,13.9,19.3,3.2,7.7,810,10.9,15.4,8.5,16.3,631,0.524,1.18,0.524,2.2,2.9,164,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
0,26.3,0.627,14.2,13.4,14.3,27.2,20.7,21.6,354.2,11.8,0,3.2,6.2,775,9.5,17.2,0,0,0,0,0,0,2.1,3.3,170,0.623,0,0,0,0,0,0,0,0,0,0,0,0,189,2.3,4.2,1.08,25,0
0,35.7,0.531,10.9,29.9,5.7,16,10.7,21.58,236.1,7.9,0,0,0,0,0,0,9,20.2,358,0.474,1.2,0.482,4.7,5.9,189,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.4,0.583,19.7,25.5,2.3,7.5,5,21.57,430.8,14.4,21.7,0,0,0,0,0,7.7,16.5,578,0.491,1.32,0.532,4.2,4.9,315,0.863,2.1,5,157,0.415,389,5.2,6.8,2.09,114,1.52,2,0.78,0,0,0,0,6,0
0,29.5,0.579,24.8,23.6,2.2,13.3,7.8,21.52,199,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30.5,0.504,4.2,20.4,18.3,30.1,24,21.5,406.9,13.6,0,5.3,8.1,1104,13.5,21.2,6,11.7,494,0.515,1.18,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1.87,2.94,0.54,48,0
0,31.8,0.534,17,32.6,3.6,9.6,6.7,21.44,321.8,10.7,21.5,0,0,0,0,0,8.2,17.5,509,0.489,1.23,0.483,4.6,6,284,0.768,0,0,0,0,299,4.8,7.3,1.43,73,1.18,1.78,0.7,0,0,0,0,0,0
0,30.5,0.563,17.8,20.9,6.7,19.8,13.4,21.43,374.8,12.5,0,1.7,5.4,544,7.2,11.3,6.8,12.7,519,0.547,1.2,0.544,0,0,0,0,0,0,0,0,244,3.2,5.1,2.44,0,0,0,0,98,1.29,2.03,0.81,14,1
0,38.7,0.583,14.9,20.6,5.1,11.2,8.2,21.32,405.8,13.5,20,1.8,4.1,379,5.8,7.2,6.5,14,421,0.484,1.43,0.502,5.9,7.1,386,0.834,0,0,0,0,212,3.3,4,2.28,114,1.75,2.18,1.06,0,0,0,0,0,0
0,31,0.549,11,22.7,11.2,25.1,17.9,21.26,311.4,10.4,0,3.3,6.9,704,10.2,15.8,6.1,12.4,423,0.496,1.29,0.496,3.7,4.9,252,0.75,0,0,0,0,0,0,0,0,78,1.13,1.75,0.53,0,0,0,0,35,0
0,34.4,0.638,6.7,12.3,16.2,32.4,24.5,21.05,440,14.7,0,4.8,10.1,1226,15,20.9,4.6,6.5,379,0.713,1.77,0.711,2.3,5.7,187,0.397,0,0,0,0,0,0,0,0,81,0.99,1.38,0.33,183,2.23,3.11,0.75,47,0
0,31.9,0.591,12.5,25.5,1.2,9.4,5.4,20.86,379.5,12.6,21.7,0,0,0,0,0,7.8,16.9,602,0.481,1.28,0.555,2.9,3.3,225,0.879,3.1,7,239,0.439,222,2.9,4.3,1.49,87,1.13,1.7,0.71,0,0,0,0,0,0
